FontPeer.java,Java,,3,2,6,11
FramePeer.java,Java,,8,5,6,19
LabelPeer.java,Java,,7,2,6,15
LightweightPeer.java,Java,,3,3,15,21
ListPeer.java,Java,,19,7,21,47
MenuBarPeer.java,Java,,7,2,6,15
MenuComponentPeer.java,Java,,4,1,6,11
MenuItemPeer.java,Java,,7,4,12,23
MenuPeer.java,Java,,7,2,6,15
PanelPeer.java,Java,,4,2,6,12
PopupMenuPeer.java,Java,,5,2,6,13
ScrollbarPeer.java,Java,,6,1,6,13
ScrollPanePeer.java,Java,,11,2,6,19
TextAreaPeer.java,Java,,12,6,18,36
TextComponentPeer.java,Java,,11,1,6,18
TextFieldPeer.java,Java,,10,5,15,30
WindowPeer.java,Java,,6,5,6,17
Point.java,Java,,46,14,121,181
Polygon.java,Java,,125,28,125,278
PopupMenu.java,Java,,51,11,41,103
PrintGraphics.java,Java,,4,4,16,24
PrintJob.java,Java,,11,9,43,63
Rectangle.java,Java,,151,41,360,552
Scrollbar.java,Java,,213,58,477,748
ScrollPane.java,Java,,343,77,227,647
Shape.java,Java,,4,3,23,30
SystemColor.java,Java,,101,62,203,366
VisualTest.html,HTML,,3,1,0,4
VisualTest.java,Java,,379,42,7,428
TextArea.java,Java,,167,41,252,460
TextComponent.java,Java,,206,48,225,479
TextField.java,Java,,167,46,247,460
Toolkit.java,Java,,201,89,511,801
Window.java,Java,,449,80,207,736
BeanDescriptor.java,Java,,23,9,32,64
BeanInfo.java,Java,,15,15,115,145
Beans.java,Java,,242,56,170,468
Customizer.java,Java,,6,8,34,48
EventSetDescriptor.java,Java,,127,36,134,297
FeatureDescriptor.java,Java,,91,21,88,200
IndexedPropertyDescriptor.java,Java,,109,19,91,219
IntrospectionException.java,Java,,7,4,17,28
Introspector.java,Java,,599,118,212,929
MethodDescriptor.java,Java,,30,13,32,75
ParameterDescriptor.java,Java,,3,4,14,21
PropertyChangeEvent.java,Java,,29,10,55,94
PropertyChangeListener.java,Java,,4,6,16,26
PropertyChangeSupport.java,Java,,71,27,33,131
PropertyDescriptor.java,Java,,123,22,113,258
PropertyEditor.java,Java,,15,25,138,178
PropertyEditorManager.java,Java,,96,20,63,179
PropertyEditorSupport.java,Java,,78,33,120,231
PropertyVetoException.java,Java,,12,8,14,34
SimpleBeanInfo.java,Java,,36,13,60,109
VetoableChangeListener.java,Java,,5,2,19,26
VetoableChangeSupport.java,Java,,86,21,41,148
Visibility.java,Java,,7,8,30,45
BufferedInputStream.java,Java,,90,18,209,317
BufferedOutputStream.java,Java,,41,9,78,128
BufferedReader.java,Java,,191,28,149,368
BufferedWriter.java,Java,,94,22,117,233
ByteArrayInputStream.java,Java,,57,14,128,199
ByteArrayOutputStream.java,Java,,54,18,110,182
CharArrayReader.java,Java,,85,16,91,192
CharArrayWriter.java,Java,,73,15,78,166
CharConversionException.java,Java,,10,1,21,32
DataInput.java,Java,,19,16,158,193
DataInputStream.java,Java,,176,26,407,609
DataOutput.java,Java,,18,15,119,152
DataOutputStream.java,Java,,123,21,183,327
EOFException.java,Java,,10,3,33,46
Externalizable.java,Java,,7,4,53,64
File.java,Java,,215,43,421,679
FileDescriptor.java,Java,,14,9,74,97
FileInputStream.java,Java,,54,16,145,215
FilenameFilter.java,Java,,5,2,30,37
FileNotFoundException.java,Java,,9,3,25,37
FileOutputStream.java,Java,,71,15,133,219
FileReader.java,Java,,12,8,19,39
FileWriter.java,Java,,15,9,19,43
FilterInputStream.java,Java,,35,12,193,240
FilterOutputStream.java,Java,,29,8,106,143
FilterReader.java,Java,,32,15,58,105
FilterWriter.java,Java,,23,12,52,87
InputStream.java,Java,,46,12,168,226
InputStreamReader.java,Java,,130,31,93,254
InterruptedIOException.java,Java,,11,4,35,50
InvalidClassException.java,Java,,17,5,34,56
InvalidObjectException.java,Java,,6,2,25,33
IOException.java,Java,,10,3,27,40
LineNumberInputStream.java,Java,,73,15,164,252
LineNumberReader.java,Java,,95,22,93,210
NotActiveException.java,Java,,9,3,22,34
NotSerializableException.java,Java,,9,3,19,31
ObjectInput.java,Java,,11,8,76,95
ObjectInputStream.java,Java,,800,148,774,1722
ObjectInputValidation.java,Java,,4,2,22,28
ObjectOutput.java,Java,,10,7,61,78
ObjectOutputStream.java,Java,,603,129,603,1335
ObjectStreamClass.java,Java,,426,111,314,851
ObjectStreamConstants.java,Java,,23,6,15,44
ObjectStreamException.java,Java,,9,3,21,33
ObjectStreamField.java,Java,,42,11,35,88
OptionalDataException.java,Java,,13,4,35,52
OutputStream.java,Java,,16,6,81,103
OutputStreamWriter.java,Java,,113,23,103,239
PipedInputStream.java,Java,,125,20,134,279
PipedOutputStream.java,Java,,40,11,77,128
PipedReader.java,Java,,54,14,42,110
PipedWriter.java,Java,,50,16,42,108
PrintStream.java,Java,,233,46,233,512
PrintWriter.java,Java,,212,47,112,371
PushbackInputStream.java,Java,,65,13,137,215
PushbackReader.java,Java,,83,19,95,197
RandomAccessFile.java,Java,,220,53,581,854
Reader.java,Java,,51,19,138,208
SequenceInputStream.java,Java,,69,11,95,175
Serializable.java,Java,,3,2,74,79
StreamCorruptedException.java,Java,,9,3,22,34
StreamTokenizer.java,Java,,345,40,356,741
StringBufferInputStream.java,Java,,47,11,101,159
StringReader.java,Java,,65,16,69,150
StringWriter.java,Java,,34,16,55,105
SyncFailedException.java,Java,,6,2,21,29
UnsupportedEncodingException.java,Java,,11,1,22,34
UTFDataFormatException.java,Java,,10,3,32,45
WriteAbortedException.java,Java,,14,4,28,46
Writer.java,Java,,33,15,100,148
AbstractMethodError.java,Java,,10,3,29,42
ArithmeticException.java,Java,,10,3,28,41
ArrayIndexOutOfBoundsException.java,Java,,13,4,35,52
ArrayStoreException.java,Java,,10,4,31,45
Boolean.java,Java,,42,15,116,173
Byte.java,Java,,76,24,152,252
Character.java,Java,,637,49,796,1482
Class.java,Java,,146,40,524,710
ClassCastException.java,Java,,10,3,31,44
